SEQ,INDATE,ADDRESS_OWNLOC,UNITTYPE,CNTRSTATUS,VOYTERM_IN,TRUCK_IN,ADDRESS_TRUCKERIN,FE,NETT,ADDRESS_FROM,INOUTSEQ,CNTR,CURRENTPOS
1820540,01/11/2020,CTTROT,26TK,AVAILABLE,CTTROT20201101POL,,,F,27160,KVTFRA,2713385,NULL,NULL
1820550,01/11/2020,CTTROT,20TK,AVAILABLE,CTTROT20201101POL,,,E,0,KVTFRA,2713395,GCAU 788126 3,50.11.1
1820560,01/11/2020,CTTROT,20TK,AVAILABLE,CTTROT20201101POL,,,E,0,KVTFRA,2713405,NWBU 010523 6,37.11.1
1820561,01/11/2020,CTTROT,20TK,AVAILABLE,CTTROT20201101POL,,,E,0,KVTFRA,2713406,PCVU 288024 0,37.10.1
1820567,01/11/2020,CTTROT,20TK,AVAILABLE,CTTROT20201101POL,,,E,0,KVTFRA,2713412,PCVU 260055 0,45.10.4
1820568,01/11/2020,CTTROT,20TK,AVAILABLE,CTTROT20201101POL,,,E,0,KVTFRA,2713413,PCVU 288013 1,37.10.2
1820573,01/11/2020,CTTROT,30TK,AVAILABLE,CTTROT20201101POL,,,E,0,KVTFRA,2713418,NULL,NULL
1820563,01/11/2020,CTTROT,23TK,AVAILABLE,CTTROT20201101POL,,,F,26140,KVTFRA,2713408,NULL,NULL
1820555,01/11/2020,CTTROT,26TK,AVAILABLE,CTTROT20201101POL,,,F,1,KVTFRA,2713400,NULL,NULL
1820557,01/11/2020,CTTROT,45HC,AVAILABLE,CTTROT20201101POL,,,F,9362,KVTFRA,2713402,NULL,NULL
1820564,01/11/2020,CTTROT,26TK,AVAILABLE,CTTROT20201101POL,,,F,1,KVTFRA,2713409,NULL,NULL
1820525,01/11/2020,CTTROT,22TK,AVAILABLE,CTTROT20201101POL,,,F,19860,KVTFRA,2713370,NULL,NULL
1821145,02/11/2020,CTTROT,20TK,AVAILABLE,CTTROT20201102POL-B,,,E,0,KVTFRA,2714459,BIDU 490405 2,49.10.4
